id,relation,source,target
1303,r_cert,Domain_bab7738855aebe08106629db55cc37bbab6032d0c83e0b50545f7fadad00a7fb,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
1374,r_cert,Domain_1af571b08126316100c5881d0b6e2dc7e349572d3dc30623d117b6ba1e604f69,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
1375,r_cert,Domain_3463c4d7394dd9ed9e0bcafeaed3cf8691dc7dac01cbe3e84bba8391d93a7b38,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
1493,r_dns_a,Domain_bab7738855aebe08106629db55cc37bbab6032d0c83e0b50545f7fadad00a7fb,IP_6b5f6087ab963dd71a6c4aabbe593a953690cb156ed87bb84e13499ab1866fe9
1497,r_subdomain,Domain_bab7738855aebe08106629db55cc37bbab6032d0c83e0b50545f7fadad00a7fb,Domain_7084151479e166730726d5b3f87515ea694ba334234059aaf8892ad0c5ac774c
1498,r_cname,Domain_bab7738855aebe08106629db55cc37bbab6032d0c83e0b50545f7fadad00a7fb,Domain_9f630e6120f72c18ca4435d0a51f7b90b42b0cfce282f2855e62b8f8c268d68b
1580,r_dns_a,Domain_1af571b08126316100c5881d0b6e2dc7e349572d3dc30623d117b6ba1e604f69,IP_47c3c8a6d1485385acf2f2c5ab3236317630a29ba21464f69ea220f4a29cf04b
21093,r_dns_a,Domain_bab7738855aebe08106629db55cc37bbab6032d0c83e0b50545f7fadad00a7fb,IP_6b5f6087ab963dd71a6c4aabbe593a953690cb156ed87bb84e13499ab1866fe9
21282,r_dns_a,Domain_3acaa528f64a286dc415cd13f2e14515e6b93847b8f3b604937c79cb01a5e864,IP_6b5f6087ab963dd71a6c4aabbe593a953690cb156ed87bb84e13499ab1866fe9
21421,r_dns_a,Domain_bf694f131769c5e0533f259f5eacb293df61eec41c817b1d2a75052649bfc2b1,IP_6b5f6087ab963dd71a6c4aabbe593a953690cb156ed87bb84e13499ab1866fe9
21444,r_asn,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966,ASN_e774bb32ba32a39fb57f1efcde1df426caed6d9cae712301b3383ac5d3f044ef
21458,r_cidr,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966,IP_CIDR_20d1cdd8cc0cfd949caf2d169039926134984ab7f0c8169f16df2d93c89e96ec
21507,r_dns_a,Domain_b115de17df40242620d8cf1ed3d4439c3ae74bf7363635be5db2a2988aab0ef5,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
21554,r_dns_a,Domain_5c1cd1fe856b9139c30a237e1d3cec5bc4d15a8689e436f8236ae1eebce6f57f,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
21580,r_dns_a,Domain_8999739220a34e8f2c33f127364b72aeadbace6e9920ea197697e613e89141c3,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
21610,r_dns_a,Domain_fa11da49ec90a694be53a68d9f95b93cff264d20d9d971422423440159e77ce6,IP_6b5f6087ab963dd71a6c4aabbe593a953690cb156ed87bb84e13499ab1866fe9
21891,r_dns_a,Domain_d010fd25507aa3158026d2a4183f909ccb0ad6dff42ed89a227088a75d779728,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22093,r_dns_a,Domain_9e8f85c4321face784190fc820cdf4099f8591ca5aef0bd23b45dc32c3ae741f,IP_6b5f6087ab963dd71a6c4aabbe593a953690cb156ed87bb84e13499ab1866fe9
22199,r_dns_a,Domain_365aa099b44f09c37520199e7bb416f086be93459e1b55797ed186176d236bc3,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22272,r_dns_a,Domain_04022dc8a6439004db731b3bee3915aec225da2f8061d8146a738c65fcb5d12b,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22296,r_dns_a,Domain_c692c10f0264020426d63116bfcfd983316db5435de3b231a6a9ef31e9c4f471,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22313,r_cert,Domain_b115de17df40242620d8cf1ed3d4439c3ae74bf7363635be5db2a2988aab0ef5,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
22369,r_dns_a,Domain_2dc0dd0712d137bde494dc8d3e6f02d8618d3c0046723d8f35080bda7a8f31f9,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22393,r_dns_a,Domain_7b3389ddb15cdf1cdc7032f912faebfad0570b31612b520f984cd72e744f2ba4,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22418,r_dns_a,Domain_39be2afbbcfdf2a9de131749adc3149e5d13f32c3ee6b88e314791f022e4a332,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22446,r_dns_a,Domain_6534f09344fa6fba88091ac186302f40c276ecf906cf99f4c244ed20b2c4cd5e,IP_6b5f6087ab963dd71a6c4aabbe593a953690cb156ed87bb84e13499ab1866fe9
22491,r_dns_a,Domain_92456cb579f4a58594c83c70a7b57f3066b135e997531160d413cfcd04063018,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
